Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Equatorial Guinea,GNQ,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,37.65076731,35.17366033,36.7971181,37.80539778,39.33112144,39.04331747,40.89167146,43.75025087,44.54848754,14.82121749
Estonia,EST,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.4870706,42.13916748,41.17829193,40.00185399,39.75800127,38.17142055,37.43203606,38.11261949,37.32953392,9.438015126
Eswatini,SWZ,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,67.48281945,56.56324582,73.42827689,59.42753114,55.09744105,66.07340169,64.50448515,68.28987394,42.49842075,..
Eswatini,SWZ,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,49.89998515,75.1257151,63.4625385,48.49020558,60.77442357,60.38473487,56.4967662,66.15450269,66.73879424,..
Ethiopia,ETH,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,22.56446157,21.31146211,15.90722578,14.5437299,14.03845196,14.22379548,10.48134109,17.32436799,15.5182051,..
Ethiopia,ETH,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.94419373,25.24729263,28.17257149,23.25421338,16.54650326,19.16926384,21.08970906,26.05131727,15.25812486,..
Faroe Islands,FRO,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,30.59663159,31.83197513,38.69217221,..,..,..,..,..,..,..
Faroe Islands,FRO,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,52.41727525,56.82725794,50.90765547,..,..,..,..,..,..,..
